query_id,query_text,relevant_doc_ids
q144,Dataflow로 데이터 옮기는 방법?,63fe9eff-a872-4d50-b4ab-cef058306335=3;bf58d8fc-8044-4ef5-80be-cd76d73d79e1=2;bdf83547-6236-40b4-9d0b-7dc06d8fc0e7=2
q145,빅쿼리로 Oracle 데이터 전환 어떻게 해?,3f19de8a-7c44-4523-8264-02c820e73da7=3;4dd8e0e0-9936-4867-b356-d8e0804f9292=2;202a3f04-35c7-4fa4-b6c6-531bfd1f4d41=1
q146,Dataproc 뭐하는 건데?,254c4886-19c9-4b08-8896-3dad484508f7=2;76b7809d-7fd2-451b-a389-0ad0b2aed362=2;51d98d34-dffd-42b1-b578-44d48a1a5436=1
q147,빅쿼리에서 서브 쿼리 어떻게 쓰지?,8b934fa2-5d6f-4fa1-8597-f7413147860f=3;69459726-72d9-4b81-874d-935b615a8a01=2;0c4019ce-5c3a-4b1a-aff9-f5e6fc21506a=1
q148,윈도우 함수 쓰는 법 알려줘,04ad924b-f807-462b-bb5c-7013e0b128e3=3;62c69881-b0e5-4a0e-822b-1357199159e8=2;4dff49f8-a009-48f1-8fef-e6da26e8c681=1
q149,DISTINCT 문이 뭐야?,492f897f-7402-4c15-8281-c70325016784=2;14875af1-879d-4e08-9f2a-332740040fb9=1;
q150,데이터 조작 언어(DML) 쿼리 예시,05973735-fd82-420c-90e1-0ba1c5429aac=3;c4d654bc-ccee-41c6-8212-02cdf73a0185=2;
q151,재귀적 CTE 사용법 궁금해,e70e7e84-c55e-4cc7-bf0c-281eb7b58c14=3;ad23ef6d-b2d7-4d63-8b92-df2a136760af=2;d70461a0-cb65-491e-9403-eb722f518856=1
q152,Firestore 백업 스케줄 어떻게 확인해?,19583308-654f-45da-8ab5-a186752d8b6c=3;1ac8009e-85f0-46e7-ae2c-72b4f17de2e4=2;4accbafc-81fc-48d2-9581-bcbe2995ae8a=1
q153,How to list backup schedules in Firestore?,c6b41ba8-3432-40d3-981a-291dbc3b9286=3;3197f8d0-64fe-4c68-ab90-852b0126abf1=2;4c9754d2-1f6f-4cfb-bf84-100a1ac1e09d=2
q154,파이어스토어 백업 일정 조회하는 방법 있나?,8c00c3ca-f445-4d70-9b55-ccccbc21c586=3;9ef131ac-070d-4cca-a4d3-2b2bc20058e7=2;cc061606-bd68-43dc-b302-4227b9e4721f=2
q155,Firestore에서 backupSchedules 가져오는 법은?,b1236190-a9e0-4d0a-957a-d37a1e62ace4=3;9a895fa8-f34c-4383-b129-09452cf94270=2;4accbafc-81fc-48d2-9581-bcbe2995ae8a=2
q156,백업 스케줄 보려면 어떤 API 써야해?,f54331ef-725c-4dc6-9138-4fa65bf9a060=2;
q157,Swift로 데이터 수정하는 법 뭐야?,00120297-046b-4891-bcea-43279308c198=3;8860fbab-1f5d-4278-b8e0-ff59d93df76b=2;
q158,Objective-C에서 문서 수정하는거 알려줘,908cd34d-47e7-4c50-8dcb-3ccf097a38ec=3;73c24211-906e-45c1-b3d3-9e90e7e910be=2;4528e5a8-d5f5-4852-ace0-e0f2b3d65a3d=1
q159,lastUpdated 필드에 서버 타임스탬프 추가는?,dd392466-6206-4ed8-9b11-5b08c46df738=3;0527384a-8520-4c19-8f52-11cd22b62081=2;868c2aa3-fdbd-4b0f-99b8-a90ea580420b=1
q160,서버 타임스탬프 업데이트 하는 방법 궁금해,dd392466-6206-4ed8-9b11-5b08c46df738=3;
